entrez_id,gene_symbol,gene_name,organism,chromosome,map_location,summary,other_designations,chr_accession,chr_start,chr_stop,node_id
3321,IGSF3,immunoglobulin superfamily member 3,Homo sapiens,1,1p13.1,"The protein encoded by this gene is an immunoglobulin-like membrane protein containing several V-type Ig-like domains. A mutation in this gene has been associated with bilateral nasolacrimal duct obstruction (LCDD). [provided by RefSeq, Jun 2016]","immunoglobulin superfamily member 3|glu-Trp-Ile EWI motif-containing protein 3|immunoglobin superfamily, member 3",NC_000001.11,116667754,116574397,109553
3655,ITGA6,integrin subunit alpha 6,Homo sapiens,2,2q31.1,"The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 6 subunit. This subunit may associate with a beta 1 or beta 4 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. The alpha 6 beta 4 integrin may promote tumorigenesis, while the alpha 6 beta 1 integrin may negatively regulate erbB2/HER2 signaling. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]","integrin alpha-6|CD49 antigen-like family member F|integrin alpha6B|integrin, alpha 6|very late activation protein 6",NC_000002.12,172427335,172506458,109864
3678,ITGA5,integrin subunit alpha 5,Homo sapiens,12,12q13.13,"The product of this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha subunit and a beta subunit that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 5 subunit. This subunit associates with the beta 1 subunit to form a fibronectin receptor. This integrin may promote tumor invasion, and higher expression of this gene may be correlated with shorter survival time in lung cancer patients. Note that the integrin alpha 5 and integrin alpha V subunits are encoded by distinct genes. [provided by RefSeq, Oct 2015]","integrin alpha-5|CD49 antigen-like family member E|ITGA5/SLC9B1 fusion|fibronectin receptor subunit alpha|fibronectin receptor, alpha polypeptide|fibronectin receptor, alpha subunit|integrin alpha-F|integrin, alpha 5 (fibronectin receptor, alpha polypeptide)|very late activation protein 5, alpha subunit",NC_000012.12,54419265,54395260,109884
3840,KPNA4,karyopherin subunit alpha 4,Homo sapiens,3,3q25.33,"The nuclear import of karyophilic proteins is directed by short amino acid sequences termed nuclear localization signals (NLSs). Karyopherins, or importins, are cytoplasmic proteins that recognize NLSs and dock NLS-containing proteins to the nuclear pore complex. The protein encoded by this gene shares the sequence similarity with Xenopus importin-alpha and Saccharomyces cerevisiae Srp1. This protein is found to interact with the NLSs of DNA helicase Q1 and SV40 T antigen. [provided by RefSeq, Jul 2008]",importin subunit alpha-3|importin alpha Q1|importin subunit alpha-4|karyopherin alpha 4 (importin alpha 3),NC_000003.12,160565570,160495006,110038
3856,KRT8,keratin 8,Homo sapiens,12,12q13.13,"This gene is a member of the type II keratin family clustered on the long arm of chromosome 12. Type I and type II keratins heteropolymerize to form intermediate-sized filaments in the cytoplasm of epithelial cells. The product of this gene typically dimerizes with keratin 18 to form an intermediate filament in simple single-layered epithelial cells. This protein plays a role in maintaining cellular structural integrity and also functions in signal transduction and cellular differentiation. Mutations in this gene cause cryptogenic cirrhosis. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jan 2012]","keratin, type II cytoskeletal 8|cytokeratin-8|keratin 8, type II|type-II keratin Kb8",NC_000012.12,52949859,52897190,110054
3880,KRT19,keratin 19,Homo sapiens,17,17q21.2,"The protein encoded by this gene is a member of the keratin family. The keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into cytokeratins and hair keratins. The type I cytokeratins consist of acidic proteins which are arranged in pairs of heterotypic keratin chains. Unlike its related family members, this smallest known acidic cytokeratin is not paired with a basic cytokeratin in epithelial cells. It is specifically expressed in the periderm, the transiently superficial layer that envelopes the developing epidermis. The type I cytokeratins are clustered in a region of chromosome 17q12-q21. [provided by RefSeq, Jul 2008]","keratin, type I cytoskeletal 19|40-kDa keratin intermediate filament|CK-19|cytokeratin 19|keratin 19, type I|keratin, type I, 40-kd",NC_000017.11,41528307,41523616,110078
3956,LGALS1,galectin 1,Homo sapiens,22,22q13.1,"The galectins are a family of beta-galactoside-binding proteins implicated in modulating cell-cell and cell-matrix interactions. This gene product may act as an autocrine negative growth factor that regulates cell proliferation. [provided by RefSeq, Jul 2008]","galectin-1|14 kDa laminin-binding protein|14 kDa lectin|HBL|HLBP14|HPL|S-Lac lectin 1|beta-galactoside-binding lectin L-14-I|beta-galactoside-binding protein 14kDa|epididymis secretory sperm binding protein|gal-1|galaptin|lactose-binding lectin 1|lectin, galactoside-binding, soluble, 1|putative MAPK-activating protein PM12",NC_000022.11,37675635,37679801,110147
3958,LGALS3,galectin 3,Homo sapiens,14,14q22.3,"This gene encodes a member of the galectin family of carbohydrate binding proteins. Members of this protein family have an affinity for beta-galactosides. The encoded protein is characterized by an N-terminal proline-rich tandem repeat domain and a single C-terminal carbohydrate recognition domain. This protein can self-associate through the N-terminal domain allowing it to bind to multivalent saccharide ligands. This protein localizes to the extracellular matrix, the cytoplasm and the nucleus. This protein plays a role in numerous cellular functions including apoptosis, innate immunity, cell adhesion and T-cell regulation. The protein exhibits antimicrobial activity against bacteria and fungi. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Oct 2014]","galectin-3|35 kDa lectin|IgE-binding protein|MAC-2 antigen|advanced glycation end-product receptor 3|carbohydrate-binding protein 35|epididymis secretory sperm binding protein|galactose-specific lectin 3|laminin-binding protein|lectin L-29|lectin, galactoside-binding, soluble, 3",NC_000014.9,55129251,55145429,110149
3964,LGALS8,galectin 8,Homo sapiens,1,1q43,"This gene encodes a member of the galectin family. Galectins are beta-galactoside-binding animal lectins with conserved carbohydrate recognition domains. The galectins have been implicated in many essential functions including development, differentiation, cell-cell adhesion, cell-matrix interaction, growth regulation, apoptosis, and RNA splicing. This gene is widely expressed in tumoral tissues and seems to be involved in integrin-like cell interactions. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","galectin-8|Po66 carbohydrate binding protein|galectin-8g|lectin, galactoside-binding, soluble, 8|po66 carbohydrate-binding protein|prostate carcinoma tumor antigen 1",NC_000001.11,236518213,236552980,110155
4015,LOX,lysyl oxidase,Homo sapiens,5,5q23.1,"This gene encodes a member of the lysyl oxidase family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate a regulatory propeptide and the mature enzyme. The copper-dependent amine oxidase activity of this enzyme functions in the crosslinking of collagens and elastin, while the propeptide may play a role in tumor suppression. In addition, defects in this gene have been linked with predisposition to thoracic aortic aneurysms and dissections. [provided by RefSeq, Jul 2016]",protein-lysine 6-oxidase,NC_000005.10,122078258,122063194,110199
4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",Homo sapiens,8,8q12.1,"This gene encodes a tyrosine protein kinase, which maybe involved in the regulation of mast cell degranulation, and erythroid differentiation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2011]",tyrosine-protein kinase Lyn|lck/Yes-related novel protein tyrosine kinase|v-yes-1 Yamaguchi sarcoma viral related oncogene homolog,NC_000008.11,55879834,56014168,110245
4082,MARCKS,myristoylated alanine rich protein kinase C substrate,Homo sapiens,6,6q21,"The protein encoded by this gene is a substrate for protein kinase C. It is localized to the plasma membrane and is an actin filament crosslinking protein. Phosphorylation by protein kinase C or binding to calcium-calmodulin inhibits its association with actin and with the plasma membrane, leading to its presence in the cytoplasm. The protein is thought to be involved in cell motility, phagocytosis, membrane trafficking and mitogenesis. [provided by RefSeq, Jul 2008]","myristoylated alanine-rich C-kinase substrate|myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)|phosphomyristin|protein kinase C substrate, 80 kDa protein, light chain",NC_000006.12,113857344,113863474,110257
4179,CD46,CD46 molecule,Homo sapiens,1,1q32.2,"The protein encoded by this gene is a type I membrane protein and is a regulatory part of the complement system. The encoded protein has cofactor activity for inactivation of complement components C3b and C4b by serum factor I, which protects the host cell from damage by complement. In addition, the encoded protein can act as a receptor for the Edmonston strain of measles virus, human herpesvirus-6, and type IV pili of pathogenic Neisseria. Finally, the protein encoded by this gene may be involved in the fusion of the spermatozoa with the oocyte during fertilization. Mutations at this locus have been associated with susceptibility to hemolytic uremic syndrome. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jun 2010]","membrane cofactor protein|CD46 antigen, complement regulatory protein|CD46 molecule, complement regulatory protein|antigen identified by monoclonal antibody TRA-2-10|complement membrane cofactor protein|measles virus receptor|membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)|trophoblast leucocyte common antigen|trophoblast leukocyte common antigen|trophoblast-lymphocyte cross-reactive antigen",NC_000001.11,207752037,207795515,110346
4259,MGST3,microsomal glutathione S-transferase 3,Homo sapiens,1,1q24.1,"This gene encodes a member of the MAPEG (Membrane Associated Proteins in Eicosanoid and Glutathione metabolism) protein family. Members of this family are involved in the production of leukotrienes and prostaglandin E, important mediators of inflammation. This gene encodes an enzyme which catalyzes the conjugation of leukotriene A4 and reduced glutathione to produce leukotriene C4. This enzyme also demonstrates glutathione-dependent peroxidase activity towards lipid hydroperoxides.[provided by RefSeq, May 2011]","glutathione S-transferase 3, mitochondrial|LTC4 synthase MGST3|glutathione peroxidase MGST3|microsomal GST-3|microsomal GST-III|microsomal glutathione S-transferase III",NC_000001.11,165631233,165656135,110415
4267,CD99,CD99 molecule (Xg blood group),Homo sapiens,"X, Y",X;Y,"The protein encoded by this gene is a cell surface glycoprotein involved in leukocyte migration, T-cell adhesion, ganglioside GM1 and transmembrane protein transport, and T-cell death by a caspase-independent pathway. In addition, the encoded protein may have the ability to rearrange the actin cytoskeleton and may also act as an oncosuppressor in osteosarcoma. This gene is found in the pseudoautosomal region of chromosomes X and Y and escapes X-chromosome inactivation. There is a related pseudogene located immediately adjacent to this locus. [provided by RefSeq, Mar 2016]","CD99 antigen|E2 antigen|MIC2 (monoclonal antibody 12E7)|T-cell surface glycoprotein E2|antigen identified by monoclonal 12E7, Y homolog|antigen identified by monoclonal antibodies 12E7, F21 and O13|cell surface antigen 12E7|cell surface antigen HBA-71|cell surface antigen O13|surface antigen MIC2",NC_000023.11,2691294,2741308,110420
4350,MPG,N-methylpurine DNA glycosylase,Homo sapiens,16,16p13.3,"Enables DNA binding activity. Predicted to be involved in base-excision repair. Located in cytosol and nucleoplasm. [provided by Alliance of Genome Resources, Jul 2025]","DNA-3-methyladenine glycosylase|3' end of the Mid1 gene, localized 68 kb upstream the humanzeta globin gene on 16p|3-alkyladenine DNA glycosylase|3-methyladenine DNA glycosidase|CRA36.1 (3-methyl-adenine DNA glycosylase)|N-methylpurine-DNA glycosylase, MPG|proliferation-inducing protein 11|proliferation-inducing protein 16",NC_000016.10,77006,85845,110490
4363,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),Homo sapiens,16,16p13.11,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra-and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a multispecific organic anion transporter, with oxidized glutatione, cysteinyl leukotrienes, and activated aflatoxin B1 as substrates. This protein also transports glucuronides and sulfate conjugates of steroid hormones and bile salts. Alternatively spliced variants of this gene have been described but their full-length nature is unknown. [provided by RefSeq, Apr 2012]","multidrug resistance-associated protein 1|ATP-binding cassette transporter variant ABCC1delta-ex13&14|ATP-binding cassette transporter variant ABCC1delta-ex25&26|ATP-binding cassette, sub-family C (CFTR/MRP), member 1|LTC4 transporter|glutathione S-conjugate export pump|glutathione-S-conjugate-translocating ATPase ABCC1|leukotriene C(4) transporter",NC_000016.10,15949142,16143052,110503
4627,MYH9,myosin heavy chain 9,Homo sapiens,22,22q12.3,"This gene encodes a conventional non-muscle myosin; this protein should not be confused with the unconventional myosin-9a or 9b (MYO9A or MYO9B). The encoded protein is a myosin IIA heavy chain that contains an IQ domain and a myosin head-like domain which is involved in several important functions, including cytokinesis, cell motility and maintenance of cell shape. Defects in this gene have been associated with non-syndromic sensorineural deafness autosomal dominant type 17, Epstein syndrome, Alport syndrome with macrothrombocytopenia, Sebastian syndrome, Fechtner syndrome and macrothrombocytopenia with progressive sensorineural deafness. [provided by RefSeq, Dec 2011]","myosin-9|cellular myosin heavy chain, type A|myosin, heavy chain 9, non-muscle|non-muscle myosin heavy chain 9|non-muscle myosin heavy chain A|non-muscle myosin heavy chain IIa|non-muscle myosin heavy polypeptide 9|nonmuscle myosin IIA2|nonmuscle myosin heavy chain II-A",NC_000022.11,36387966,36281279,110712
4684,NCAM1,neural cell adhesion molecule 1,Homo sapiens,11,11q23.2,"This gene encodes a cell adhesion protein which is a member of the immunoglobulin superfamily. The encoded protein is involved in cell-to-cell interactions as well as cell-matrix interactions during development and differentiation. The encoded protein plays a role in the development of the nervous system by regulating neurogenesis, neurite outgrowth, and cell migration. This protein is also involved in the expansion of T lymphocytes, B lymphocytes and natural killer (NK) cells which play an important role in immune surveillance. This protein plays a role in signal transduction by interacting with fibroblast growth factor receptors, N-cadherin and other components of the extracellular matrix and by triggering signalling cascades involving FYN-focal adhesion kinase (FAK), mitogen-activated protein kinase (MAPK), and phosphatidylinositol 3-kinase (PI3K). One prominent isoform of this gene, cell surface molecule CD56, plays a role in several myeloproliferative disorders such as acute myeloid leukemia and differential expression of this gene is associated with differential disease progression. For example, increased expression of CD56 is correlated with lower survival in acute myeloid leukemia patients whereas increased severity of COVID-19 is correlated with decreased abundance of CD56-expressing NK cells in peripheral blood. Alternative splicing results in multiple transcript variants encoding distinct protein isoforms. [provided by RefSeq, Aug 2020]","neural cell adhesion molecule 1|antigen recognized by monoclonal antibody 5.1H11|neural cell adhesion molecule, NCAM",NC_000011.10,112961419,113278435,110764
4753,NELL2,neural EGFL like 2,Homo sapiens,12,12q12,"The protein encoded by this gene is a glycoprotein containing several von Willebrand factor C domains and epidermal growth factor (EGF)-like domains. The encoded protein acts as a homotrimer and is found in the cytoplasm. Several variants encoding a few different isoforms exist, and at least one isoform appears to be a secreted protein. Studies in mouse suggest that this protein plays a role in neural cell growth and differentiation as well as in oncogenesis. [provided by RefSeq, Feb 2009]",protein kinase C-binding protein NELL2|NEL-like protein 2|NEL-related protein 2|neural epidermal growth factor-like 2,NC_000012.12,44921847,44508274,110828
4811,NID1,nidogen 1,Homo sapiens,1,1q42.3,"This gene encodes a member of the nidogen family of basement membrane glycoproteins. The protein interacts with several other components of basement membranes, and may play a role in cell interactions with the extracellular matrix. [provided by RefSeq, Jul 2008]",nidogen-1|NID-1|enactin|entactin|epididymis secretory sperm binding protein,NC_000001.11,236065089,235975829,110876
4853,NOTCH2,notch receptor 2,Homo sapiens,1,1p12,"This gene encodes a member of the Notch family. Members of this Type 1 transmembrane protein family share structural characteristics including an extracellular domain consisting of multiple epidermal growth factor-like (EGF) repeats, and an intracellular domain consisting of multiple, different domain types. Notch family members play a role in a variety of developmental processes by controlling cell fate decisions. The Notch signaling network is an evolutionarily conserved intercellular signaling pathway which regulates interactions between physically adjacent cells. In Drosophilia, notch interaction with its cell-bound ligands (delta, serrate) establishes an intercellular signaling pathway that plays a key role in development. Homologues of the notch-ligands have also been identified in human, but precise interactions between these ligands and the human notch homologues remain to be determined. This protein is cleaved in the trans-Golgi network, and presented on the cell surface as a heterodimer. This protein functions as a receptor for membrane bound ligands, and may play a role in vascular, renal and hepatic development. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2011]",neurogenic locus notch homolog protein 2|Notch homolog 2|notch 2,NC_000001.11,120069661,119911552,110915
4893,NRAS,"NRAS proto-oncogene, GTPase",Homo sapiens,1,1p13.2,"This is an N-ras oncogene encoding a membrane protein that shuttles between the Golgi apparatus and the plasma membrane. This shuttling is regulated through palmitoylation and depalmitoylation by the ZDHHC9-GOLGA7 complex. The encoded protein, which has intrinsic GTPase activity, is activated by a guanine nucleotide-exchange factor and inactivated by a GTPase activating protein. Mutations in this gene have been associated with somatic rectal cancer, follicular thyroid cancer, autoimmune lymphoproliferative syndrome, Noonan syndrome, and juvenile myelomonocytic leukemia. [provided by RefSeq, Jun 2011]",GTPase NRas|N-ras protein part 4|neuroblastoma RAS viral (v-ras) oncogene homolog|neuroblastoma RAS viral oncogene homolog|proto-oncogene GTPase|transforming protein N-Ras|v-ras neuroblastoma RAS viral oncogene homolog,NC_000001.11,114716770,114704468,110952
4920,ROR2,receptor tyrosine kinase like orphan receptor 2,Homo sapiens,9,9q22.31,"The protein encoded by this gene is a receptor protein tyrosine kinase and type I transmembrane protein that belongs to the ROR subfamily of cell surface receptors.  The protein may be involved in the early formation of the chondrocytes and may be required for cartilage and growth plate development.  Mutations in this gene can cause brachydactyly type B, a skeletal disorder characterized by hypoplasia/aplasia of distal phalanges and nails. In addition, mutations in this gene can cause the autosomal recessive form of Robinow syndrome, which is characterized by skeletal dysplasia with generalized limb bone shortening, segmental defects of the spine, brachydactyly, and a dysmorphic facial appearance. [provided by RefSeq, Jul 2008]",tyrosine-protein kinase transmembrane receptor ROR2|neurotrophic tyrosine kinase receptor-related 2,NC_000009.12,91950227,91722600,110974
100506658,OCLN,occludin,Homo sapiens,5,5q13.2,"This gene encodes an integral membrane protein that is required for cytokine-induced regulation of the tight junction paracellular permeability barrier. Mutations in this gene are thought to be a cause of band-like calcification with simplified gyration and polymicrogyria (BLC-PMG), an autosomal recessive neurologic disorder that is also known as pseudo-TORCH syndrome. Alternative splicing results in multiple transcript variants. A related pseudogene is present 1.5 Mb downstream on the q arm of chromosome 5. [provided by RefSeq, Apr 2011]","occludin|phosphatase 1, regulatory subunit 115",NC_000005.10,69492546,69558103,111004
5045,FURIN,"furin, paired basic amino acid cleaving enzyme",Homo sapiens,15,15q26.1,"This gene encodes a member of the subtilisin-like proprotein convertase family, which includes proteases that process protein and peptide precursors trafficking through regulated or constitutive branches of the secretory pathway. It encodes a type 1 membrane bound protease that is expressed in many tissues, including neuroendocrine, liver, gut, and brain. The encoded protein undergoes an initial autocatalytic processing event in the ER and then sorts to the trans-Golgi network through endosomes where a second autocatalytic event takes place and the catalytic activity is acquired. Like other members of this convertase family, the product of this gene specifically cleaves substrates at single or paired basic residues. Some of its substrates include proparathyroid hormone, transforming growth factor beta 1 precursor, proalbumin, pro-beta-secretase, membrane type-1 matrix metalloproteinase, beta subunit of pro-nerve growth factor and von Willebrand factor. It is thought to be one of the proteases responsible for the activation of HIV envelope glycoproteins gp160 and gp140, and may play a role in tumor progression. Unlike SARS-CoV and other coronaviruses, the spike protein of SARS-CoV-2 is thought to be uniquely cleaved by this protease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2020]","furin|FES upstream region|dibasic processing enzyme|furin, membrane associated receptor protein|paired basic amino acid residue-cleaving enzyme|proprotein convertase subtilisin/kexin 3|proprotein convertase subtilisin/kexin type 3|subtilisin-like proprotein convertase 1",NC_000015.10,90868587,90883456,111082
5050,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,Homo sapiens,19,19q13.2,"This gene encodes an acetylhydrolase that catalyzes the removal of an acetyl group from the glycerol backbone of platelet-activating factor. The encoded enzyme is a subunit of the platelet-activating factor acetylhydrolase isoform 1B complex, which consists of the catalytic beta and gamma subunits and the regulatory alpha subunit. This complex functions in brain development. A translocation between this gene on chromosome 19 and the CDC-like kinase 2 gene on chromosome 1 has been observed, and was associated with cognitive disability, ataxia, and atrophy of the brain. Alternatively spliced transcript variants have been described. [provided by RefSeq, Mar 2009]","platelet-activating factor acetylhydrolase IB subunit alpha1|PAF acetylhydrolase 29 kDa subunit|PAF-AH 29 kDa subunit|PAF-AH subunit gamma|PAF-AH1b alpha 1 subunit|PAFAH subunit gamma|epididymis secretory sperm binding protein|platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)|platelet-activating factor acetylhydrolase IB subunit gamma",NC_000019.10,42302799,42297032,111087
5099,PCDH7,protocadherin 7,Homo sapiens,4,4p15.1,"This gene belongs to the protocadherin gene family, a subfamily of the cadherin superfamily. The gene encodes a protein with an extracellular domain containing 7 cadherin repeats. The gene product is an integral membrane protein that is thought to function in cell-cell recognition and adhesion. Alternative splicing yields isoforms with unique cytoplasmic tails. [provided by RefSeq, Jul 2008]","protocadherin-7|BH-protocadherin (brain-heart)|brain-heart protocadherin|protein phosphatase 1, regulatory subunit 120",NC_000004.12,30720368,31146799,111132
5128,CDK17,cyclin dependent kinase 17,Homo sapiens,12,12q23.1,"The protein encoded by this gene belongs to the cdc2/cdkx subfamily of the ser/thr family of protein kinases. It has similarity to a rat protein that is thought to play a role in terminally differentiated neurons. Alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Jul 2010]",cyclin-dependent kinase 17|PCTAIRE-motif protein kinase 2|cell division protein kinase 17|protein kinase cdc2-related PCTAIRE-2|serine/threonine-protein kinase PCTAIRE-2,NC_000012.12,96400438,96278224,111155
5738,PTGFRN,prostaglandin F2 receptor inhibitor,Homo sapiens,1,1p13.1,"Predicted to be involved in myoblast fusion involved in skeletal muscle regeneration. Predicted to act upstream of or within lipid droplet organization. Located in cell surface. [provided by Alliance of Genome Resources, Jul 2025]",prostaglandin F2 receptor negative regulator|CD9 partner 1|glu-Trp-Ile EWI motif-containing protein F|prostaglandin F2-alpha receptor regulatory protein|prostaglandin F2-alpha receptor-associated protein,NC_000001.11,116909915,116990352,111710
5754,PTK7,protein tyrosine kinase 7 (inactive),Homo sapiens,6,6p21.1,"This gene encodes a member of the receptor protein tyrosine kinase family of proteins that transduce extracellular signals across the cell membrane. The encoded protein lacks detectable catalytic tyrosine kinase activity, is involved in the Wnt signaling pathway and plays a role in multiple cellular processes including polarity and adhesion. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jul 2012]",inactive tyrosine-protein kinase 7|PTK7 protein tyrosine kinase 7|colon carcinoma kinase 4|pseudo tyrosine kinase receptor 7|tyrosine-protein kinase-like 7,NC_000006.12,43076313,43161714,111721
5793,PTPRG,protein tyrosine phosphatase receptor type G,Homo sapiens,3,3p14.2,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP possesses an extracellular region, a single transmembrane region, and two tandem intracytoplasmic catalytic domains, and thus represents a receptor-type PTP. The extracellular region of this PTP contains a carbonic anhydrase-like (CAH) domain, which is also found in the extracellular region of PTPRBETA/ZETA. This gene is located in a chromosomal region that is frequently deleted in renal cell carcinoma and lung carcinoma, thus is thought to be a candidate tumor suppressor gene. [provided by RefSeq, Jul 2008]","receptor-type tyrosine-protein phosphatase gamma|H_RG317H01.1|protein tyrosine phosphatase gamma|protein tyrosine phosphatase, receptor type, gamma polypeptide|receptor type protein tyrosine phosphatase gamma|receptor tyrosine phosphatase gamma|receptor-type protein phosphatase gamma",NC_000003.12,61561570,62297608,111757
5817,PVR,PVR cell adhesion molecule,Homo sapiens,19,19q13.31,"The protein encoded by this gene is a transmembrane glycoprotein belonging to the immunoglobulin superfamily. The external domain mediates cell attachment to the extracellular matrix molecule vitronectin, while its intracellular domain interacts with the dynein light chain Tctex-1/DYNLT1. The gene is specific to the primate lineage, and serves as a cellular receptor for poliovirus in the first step of poliovirus replication. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008]",poliovirus receptor|nectin-like protein 5,NC_000019.10,44643909,44666161,111775
5819,PVRL2,nectin cell adhesion molecule 2,Homo sapiens,19,19q13.32,"This gene encodes a single-pass type I membrane glycoprotein with two Ig-like C2-type domains and an Ig-like V-type domain. This protein is one of the plasma membrane components of adherens junctions. It also serves as an entry for certain mutant strains of herpes simplex virus and pseudorabies virus, and it is involved in cell to cell spreading of these viruses. Variations in this gene have been associated with differences in the severity of multiple sclerosis. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]",nectin-2|herpesvirus entry protein B|poliovirus receptor-like 2|poliovirus receptor-related 2 (herpesvirus entry mediator B),NC_000019.10,44846296,44889222,111777
5872,RAB13,"RAB13, member RAS oncogene family",Homo sapiens,1,1q21.3,"This gene is a member of the Rab family of small G proteins and plays a role in regulating membrane trafficking between trans-Golgi network (TGN) and recycling endosomes (RE). The encoded protein is involved in the assembly of tight junctions, which are components of the apical junctional complex (AJC) of epithelial cells. The AJC plays a role in forming a barrier between luminal contents and the underlying tissue. Additional functions associated with the protein include endocytic recycling of occludin, regulation of epithelial cell scattering, neuronal regeneration and regulation of neurite outgrowth. Alternately spliced transcript variants have been observed for this gene. A pseudogene associated with this gene is located on chromosome 12. [provided by RefSeq, Jan 2013]",ras-related protein Rab-13|RAS-associated protein RAB13|cell growth-inhibiting gene 4 protein|growth-inhibiting gene 4 protein,NC_000001.11,153990707,153981649,111810
5906,RAP1A,"RAP1A, member of RAS oncogene family",Homo sapiens,1,1p13.2,"This gene encodes a member of the Ras family of small GTPases. The encoded protein undergoes a change in conformational state and activity, depending on whether it is bound to GTP or GDP. This protein is activated by several types of guanine nucleotide exchange factors (GEFs), and inactivated by two groups of GTPase-activating proteins (GAPs). The activation status of the encoded protein is therefore affected by the balance of intracellular levels of GEFs and GAPs. The encoded protein regulates signaling pathways that affect cell proliferation and adhesion, and may play a role in tumor malignancy. Pseudogenes of this gene have been defined on chromosomes 14 and 17. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]",ras-related protein Rap-1A|GTP-binding protein smg p21A|Ras-related protein Krev-1,NC_000001.11,111542008,111716690,111841
5908,RAP1B,"RAP1B, member of RAS oncogene family",Homo sapiens,12,12q15,"This gene encodes a member of the RAS-like small GTP-binding protein superfamily. Members of this family regulate multiple cellular processes including cell adhesion and growth and differentiation. This protein localizes to cellular membranes and has been shown to regulate integrin-mediated cell signaling. This protein also plays a role in regulating outside-in signaling in platelets. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 3, 5, 6 and 9. [provided by RefSeq, Oct 2011]",ras-related protein Rap-1b|GTP-binding protein smg p21B|RAS-related protein RAP1B|Ras family small GTP binding protein RAP1B|small GTP binding protein,NC_000012.12,68610898,68671900,111843
6143,RPL19,ribosomal protein L19,Homo sapiens,17,17q12,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L19E family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008]",large ribosomal subunit protein eL19|60S ribosomal protein L19,NC_000017.11,39200282,39204731,112063
6169,RPL38,ribosomal protein L38,Homo sapiens,17,17q25.1,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L38E family of ribosomal proteins. It is located in the cytoplasm. Alternative splice variants have been identified, both encoding the same protein. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome, including one located in the promoter region of the type 1 angiotensin II receptor gene. [provided by RefSeq, Jul 2008]",large ribosomal subunit protein eL38|60S ribosomal protein L38,NC_000017.11,74203677,74210654,112088
