#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
3545615	1489668	7430	4383915	113271	SARS-CoV-2	-	S	EZR	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CVIL|CVL|HEL-S-105|VIL2	Two-hybrid	physical	Millet JK (2012)	PUBMED:23185364	694009	9606	High Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P15311	-	NP_003370|NP_001104547	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3545620	1489668	7430	4383915	113271	SARS-CoV-2	-	S	EZR	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CVIL|CVL|HEL-S-105|VIL2	Reconstituted Complex	physical	Millet JK (2012)	PUBMED:23185364	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P15311	-	NP_003370|NP_001104547	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3545630	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Aydin H (2014)	PUBMED:24519901	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3545654	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Co-crystal Structure	physical	Gui M (2017)	PUBMED:28008928	694009	694009	Low Throughput	-	-	cryoEM structure of SARS-CoV (Tor2 strain) trimeric S protein	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3545660	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Co-crystal Structure	physical	Yuan Y (2017)	PUBMED:28393837	694009	694009	Low Throughput	-	-	cryoEM structure of SARS-CoV (BJ01 strain) trimeric S protein	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3545661	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Webb SR (2018)	PUBMED:29669880	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3545719	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Barnes CO (2020)	PUBMED:32645326	694009	694009	Low Throughput	-	-	SARS-CoV (Urbani) S protein	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3545726	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Pinto D (2020)	PUBMED:32422645	9606	694009	Low Throughput	-	-	-	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
3545753	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li JY (2021)	PUBMED:33476695	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3546244	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Zhang ZB (2022)	PUBMED:35455955	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3546260	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Wang Q (2020)	PUBMED:32275855	694009	9606	Low Throughput	-	-	SARS-CoV (Tor2) S protein	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3546299	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Co-crystal Structure	physical	Fedry J (2021)	PUBMED:33958322	694009	694009	Low Throughput	-	-	cryoEM structure of the trimeric SARS-CoV (CUHK-W1) S protein in complex with mAb 47D11	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3546300	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Fedry J (2021)	PUBMED:33958322	9606	694009	Low Throughput	-	-	SARS-CoV (CUHK-W1) S protein	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
3547617	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Co-crystal Structure	physical	Fan X (2020)	PUBMED:32681106	694009	694009	Low Throughput	-	-	cryoEM structure of trimeric SARS-CoV (Tor2) post-fusion S protein	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3547650	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Du PX (2021)	PUBMED:34011150	694009	9606	Low Throughput	-	-	SARS-CoV (Tor2) S protein	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3547653	1489668	6441	4383915	112339	SARS-CoV-2	-	S	SFTPD	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	COLEC7|PSP-D|SFTP4|SP-D	Reconstituted Complex	physical	Du PX (2021)	PUBMED:34011150	694009	9606	Low Throughput	-	-	SARS-CoV (Tor2) S protein	-	BIOGRID	P59594	-	NP_828851	P35247	-	NP_003010	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3547735	4627	1489668	110712	4383915	RP1-68O2.1	SARS-CoV-2	MYH9	S	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Affinity Capture-Western	physical	Chen J (2021)	PUBMED:34873039	9606	694009	Low Throughput	-	-	-	-	BIOGRID	P35579	A0A024R1N1	NP_002464	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
3558664	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Protein-peptide	physical	Meher G (2023)	PUBMED:36857640	694009	694009	Low Throughput	-	-	homo-FRET of SARS-CoV fusion peptide	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
3562683	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Protein-peptide	physical	Bopda Waffo A (2023)	DOI:10.1101/2023.07.27.550841	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3565046	1489668	103231639	4383915	3938036	SARS-CoV-2	-	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	-	Affinity Capture-Western	physical	Vasquez V (2022)	PUBMED:35414393	694009	60711	Low Throughput	-	-	Hit ID'd by chronoamperometric signal readout	-	BIOGRID	P59594	-	NP_828851	-	-		-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Chlorocebus sabaeus
3565075	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Rombel-Bryzek A (2023)	PUBMED:36416453	9606	694009	Low Throughput	-	-	-	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
3573647	1489668	26032	4383915	117498	SARS-CoV-2	-	S	SUSD5	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	-	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	O60279	-	NP_056366	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573648	1489668	54976	4383915	120312	SARS-CoV-2	RP5-1009E24.6	S	C20orf27	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	-	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q9GZN8	-	NP_001034229|NP_001245359|NP_001245358	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573649	1489668	5754	4383915	111721	SARS-CoV-2	-	S	PTK7	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CCK-4|CCK4	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q13308	-	NP_002812|NP_690619|NP_001257327|NP_690621|NP_690620	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573650	1489668	1947	4383915	108267	SARS-CoV-2	RP3-496G1.1	S	EFNB1	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CFND|CFNS|EFB1|EFL3|EPLG2|Elk-L|LERK2	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P98172	-	NP_004420	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573651	1489668	57181	4383915	121430	SARS-CoV-2	-	S	SLC39A10	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	LZT-Hs2	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q9ULF5	Q05C42|A0A024R3W5	NP_065075|NP_001120729	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573652	1489668	337867	4383915	130617	SARS-CoV-2	RP11-178C10.1	S	UBAC2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	PHGDHL1	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q8NBM4	A8K2S7|A0A024RE02	NP_808882|NP_001137544	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573653	1489668	4350	4383915	110490	SARS-CoV-2	Z69720.1-002	S	MPG	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	AAG|ADPG|APNG|CRA36.1|MDG|Mid1|PIG11|PIG16|anpg	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P29372	Q1W6H1	NP_002425|NP_001015054|NP_001015052	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573654	1489668	4267	4383915	110420	SARS-CoV-2	-	S	CD99	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	HBA71|MIC2|MIC2X|MIC2Y|MSK5X	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P14209	A0A096LP69|A8MQT7	NP_001116370|NP_002405|NP_001264639|NP_001308299	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573655	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573656	1489668	22978	4383915	116627	SARS-CoV-2	RP11-30H12.3	S	NT5C2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	GMP|NT5B|PNT5|SPG45|SPG65|cN-II	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P49902	A8K6K2	NP_001127845|NP_001338109|NP_001338108|NP_001338101|NP_001338100|NP_001338103|NP_001338102|NP_001338105|NP_001338104|NP_001338107|NP_001338106|NP_001338123|NP_001338122|NP_001338121|NP_001338120|NP_001338126|NP_001338125|NP_001338124|NP_036361|NP_001338099|NP_001338098|NP_001338118|NP_001338119|NP_001338116|NP_001338117|NP_001338114|NP_001338115|NP_001338112|NP_001338113|NP_001338110|NP_001338111	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573657	1489668	8731	4383915	114269	SARS-CoV-2	-	S	RNMT	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	MET|RG7MT1|hCMT1c	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	O43148	-	NP_001365064|NP_001295192|NP_001365061|NP_003790|NP_001365063	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573658	1489668	51011	4383915	119218	SARS-CoV-2	CGI-105	S	FAHD2A	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	-	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q96GK7	A0A024RE27	NP_057128	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573659	1489668	2274	4383915	108565	SARS-CoV-2	-	S	FHL2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q14192	Q2XQU9|Q6I9R8|J3KNW4	NP_963851|NP_001361328|NP_001305824|NP_001034581|NP_963849|NP_001305823|NP_001305826|NP_001305827|NP_001441|NP_001305825|NP_001305828	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573660	1489668	998	4383915	107433	SARS-CoV-2	RP1-224A6.5	S	CDC42	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CDC42Hs|G25K	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P60953	A0A024RAE4|A0A024RAE6	NP_426359|NP_001782|NP_001034891	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573661	1489668	4853	4383915	110915	SARS-CoV-2	-	S	NOTCH2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	AGS2|HJCYS|hN2	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q04721	Q9UFD5|Q6IQ50	NP_077719|NP_001186930	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573662	1489668	3958	4383915	110149	SARS-CoV-2	-	S	LGALS3	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	P17931	A0A024R693	NP_002297|NP_001170859	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
3573663	1489668	284266	4383915	129810	SARS-CoV-2	-	S	SIGLEC15	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CD33L3|HsT1361|SIGLEC-15	Proximity Label-MS	physical	Datta S (2023)	PUBMED:37499664	694009	9606	High Throughput	-	-	Bait: SARS-CoV-1 WT S protein|Enriched hits were identified with significant enrichment (log2FC greater than or equal to 1.5 and -log10p value of greater than or equal to 2 over control) and a SAINT BFDR of less than or equal to 0.01.|Photocatalyst-based viral-host protein microenvironment mapping platform (ViraMap).	-	BIOGRID	P59594	-	NP_828851	Q6ZMC9	-	NP_998767	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
